AIRLINE,ONTIME,LATE,VERY_LATE,CANCELLED
ABX Air,17,81,2,0
ASL Airlines Belgium,0,100,0,0
Aer Lingus,78,17,0,5
Aerolineas Argentinas,69,31,0,0
Aeromexico,89,10,1,0
Air Alsie,0,100,0,0
Air Antilles Express,67,33,0,0
Air Baltic,0,50,0,50
Air Century,33,67,0,0
Air China,0,100,0,0
Air Europa,60,30,10,0
Air France,58,40,1,1
Air India,58,42,0,0
Air New Zealand,73,27,0,0
Air Senegal,47,26,5,21
Air Tahiti Nui,33,67,0,0
Air Transport International,22,78,0,0
AirSERBIA,36,64,0,0
Alaska Airlines,64,35,0,0
All Nippon Airways,19,81,0,0
Alrosa,50,50,0,0
American Airlines,77,21,1,1
Asiana Airlines,60,40,0,0
Atlas Air,7,93,0,0
Austrian Airlines,40,60,0,0
Avianca,86,14,0,0
Avianca Ecuador,0,100,0,0
Azores Airlines,40,50,0,10
British Airways,50,50,0,1
Brussels Airlines,64,33,0,3
Cape Air,64,24,0,12
Cargojet Airways,29,65,6,0
Cargolux,37,63,0,0
Caribbean Airlines,79,21,0,0
Cathay Pacific,74,26,0,0
Cayman Airways,50,50,0,0
China Airlines,58,42,0,0
China Cargo Airlines,9,91,0,0
China Eastern Airlines,100,0,0,0
China Southern Airlines,0,100,0,0
Condor,0,92,8,0
Copa Airlines,71,29,0,0
DHL Air,0,100,0,0
Delta Air Lines,76,22,1,1
EVA Air,42,58,0,0
EgyptAir,73,27,0,0
El Al,83,17,0,0
Emirates,42,58,0,0
Ethiopian Airlines,69,31,0,0
Etihad Airways,58,39,3,0
European Air Transport,55,45,0,0
FedEx,27,72,1,0
Finnair,28,72,0,0
Flair Airlines,80,20,0,0
GTA Air,100,0,0,0
Gulf Air,100,0,0,0
Hawaiian Airlines,81,15,4,0
ITA Airways,73,27,0,0
Iberia,78,21,0,1
Icelandair,45,52,0,3
Japan Airlines,62,36,2,0
JetBlue Airways,69,29,2,1
KLM,67,32,2,0
Kalitta Air,6,94,0,0
Kenya Airways,0,81,14,5
Korean Air,81,19,0,0
Kuwait Airways,20,80,0,0
LAN Airlines,80,18,2,0
LAN Cargo,0,100,0,0
LATAM Cargo Colombia,0,100,0,0
LOT,40,60,0,0
Lacsa,75,25,0,0
Lufthansa,49,51,0,0
Malaysia Airlines,67,33,0,0
National Airlines,0,80,20,0
Neos,45,55,0,0
Nippon Cargo Airlines,0,100,0,0
Oman Air,0,100,0,0
Pakistan International Airlines,0,100,0,0
Phenix Jet,0,100,0,0
Philippine Airlines,50,39,0,11
Qantas,33,67,0,0
Qatar Airways,39,59,1,1
Royal Air Maroc,73,27,0,0
Royal Jordanian,52,42,6,0
RwandAir,0,100,0,0
SF Airlines,25,75,0,0
Saudi Arabian Airlines,74,26,0,0
Singapore Airlines,51,47,2,0
SkyLink Express,86,14,0,0
SkyWest Airlines,0,100,0,0
SriLankan Airlines,67,33,0,0
Sun Country Airlines,0,100,0,0
Swiss,54,46,0,1
TAM Linhas Aereas,17,83,0,0
TAP Portugal,43,57,0,0
Thai Airways,50,50,0,0
Turkish Airlines,35,65,0,0
UPS Airlines,41,59,0,0
United Airlines,43,57,0,0
Uzbekistan Airways,25,67,8,0
Vietnam Airlines,0,100,0,0
Virgin Atlantic Airways,68,30,1,0
VivaAerobus,80,20,0,0
Volaris,73,5,0,22
Volaris Costa Rica,40,53,0,7
WestJet,29,71,0,0
